country,iso3,year,indicator,indicator_name,value,label
Argentina,ARG,2015,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),1.66091253843923,"PIB pc (crec. %, real) [8.1]"
Argentina,ARG,2016,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),-3.02450095578762,"PIB pc (crec. %, real) [8.1]"
Argentina,ARG,2017,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),1.91639608148853,"PIB pc (crec. %, real) [8.1]"
Argentina,ARG,2018,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),-3.41553683867816,"PIB pc (crec. %, real) [8.1]"
Argentina,ARG,2019,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),-2.69506723533574,"PIB pc (crec. %, real) [8.1]"
Argentina,ARG,2020,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),-10.3361096878518,"PIB pc (crec. %, real) [8.1]"
Argentina,ARG,2021,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),10.1485599877349,"PIB pc (crec. %, real) [8.1]"
Argentina,ARG,2022,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),5.04819532337936,"PIB pc (crec. %, real) [8.1]"
Argentina,ARG,2023,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),-1.89294979737558,"PIB pc (crec. %, real) [8.1]"
Argentina,ARG,2024,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),-2.05840275449496,"PIB pc (crec. %, real) [8.1]"
Bangladesh,BGD,2015,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),5.60449539732434,"PIB pc (crec. %, real) [8.1]"
Bangladesh,BGD,2016,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),6.16181560014782,"PIB pc (crec. %, real) [8.1]"
Bangladesh,BGD,2017,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),5.68710307010265,"PIB pc (crec. %, real) [8.1]"
Bangladesh,BGD,2018,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),6.44197494702485,"PIB pc (crec. %, real) [8.1]"
Bangladesh,BGD,2019,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),6.97264399779152,"PIB pc (crec. %, real) [8.1]"
Bangladesh,BGD,2020,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),2.58647816564581,"PIB pc (crec. %, real) [8.1]"
Bangladesh,BGD,2021,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),6.07069417020969,"PIB pc (crec. %, real) [8.1]"
Bangladesh,BGD,2022,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),6.00847462887278,"PIB pc (crec. %, real) [8.1]"
Bangladesh,BGD,2023,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),4.4907040939439,"PIB pc (crec. %, real) [8.1]"
Bangladesh,BGD,2024,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),2.96499837954917,"PIB pc (crec. %, real) [8.1]"
Brazil,BRA,2015,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),-4.30639755912077,"PIB pc (crec. %, real) [8.1]"
Brazil,BRA,2016,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),-4.01012719354725,"PIB pc (crec. %, real) [8.1]"
Brazil,BRA,2017,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),0.587668928736335,"PIB pc (crec. %, real) [8.1]"
Brazil,BRA,2018,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),1.09040860447158,"PIB pc (crec. %, real) [8.1]"
Brazil,BRA,2019,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),0.562970837578547,"PIB pc (crec. %, real) [8.1]"
Brazil,BRA,2020,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),-3.83550546659214,"PIB pc (crec. %, real) [8.1]"
Brazil,BRA,2021,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),4.3179316171849,"PIB pc (crec. %, real) [8.1]"
Brazil,BRA,2022,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),2.64631532411505,"PIB pc (crec. %, real) [8.1]"
Brazil,BRA,2023,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),2.83370012861097,"PIB pc (crec. %, real) [8.1]"
Brazil,BRA,2024,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),2.97747909274841,"PIB pc (crec. %, real) [8.1]"
Chile,CHL,2015,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),1.11370445947465,"PIB pc (crec. %, real) [8.1]"
Chile,CHL,2016,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),0.52983351729867,"PIB pc (crec. %, real) [8.1]"
Chile,CHL,2017,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),-0.235110167425177,"PIB pc (crec. %, real) [8.1]"
Chile,CHL,2018,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),2.14988195463914,"PIB pc (crec. %, real) [8.1]"
Chile,CHL,2019,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),-0.962096016030856,"PIB pc (crec. %, real) [8.1]"
Chile,CHL,2020,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),-6.98113061984451,"PIB pc (crec. %, real) [8.1]"
Chile,CHL,2021,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),10.824550522267,"PIB pc (crec. %, real) [8.1]"
Chile,CHL,2022,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),1.64877813218645,"PIB pc (crec. %, real) [8.1]"
Chile,CHL,2023,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),-0.0196132258928543,"PIB pc (crec. %, real) [8.1]"
Chile,CHL,2024,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),2.09415451485827,"PIB pc (crec. %, real) [8.1]"
Colombia,COL,2015,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),2.06923227113727,"PIB pc (crec. %, real) [8.1]"
Colombia,COL,2016,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),1.08114925712198,"PIB pc (crec. %, real) [8.1]"
Colombia,COL,2017,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),-0.101221554133033,"PIB pc (crec. %, real) [8.1]"
Colombia,COL,2018,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),0.695264947238812,"PIB pc (crec. %, real) [8.1]"
Colombia,COL,2019,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),1.36014067984289,"PIB pc (crec. %, real) [8.1]"
Colombia,COL,2020,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),-8.50949477621059,"PIB pc (crec. %, real) [8.1]"
Colombia,COL,2021,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),9.5929782838861,"PIB pc (crec. %, real) [8.1]"
Colombia,COL,2022,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),6.18779953705864,"PIB pc (crec. %, real) [8.1]"
